emp_a_p5,emp_a_p95,realwa_p95,realwa_p5,realwb_mean,realwa_mean,realwb_std,realwb_cont,realwa_cont
59.0,87.0,78.9765471894824,71.65842813465353,74.80548163725952,75.10607656279153,2.2162944068852193,74.63740125139564,74.934084220338
300.0,360.0,92.36049560277026,88.2357268113243,89.88598275690804,90.24004615521491,1.2454895467823264,89.84642859034398,90.20440878179727
2213.0,2370.0,116.18265580795236,114.19098517722479,114.72123456449111,115.17712840343218,0.5996847354964007,114.71916846210598,115.1753633533811
250.0,305.0,89.08195090070338,84.75477277580048,86.50819678294737,86.84675092032155,1.3044322422445123,86.45474123134913,86.79976182494067
19.0,35.0,71.19755845924416,60.42440020293614,65.00706558186326,65.28824592165148,3.277598674577294,64.61582110812563,64.87350565782953
62.0,91.0,77.95945394832891,70.86086719240284,73.91174638626408,74.21913040826725,2.1562137311092555,73.76452125412625,74.05854646832331
272.0,329.0,89.82639060825396,85.62183819306259,87.31220681235375,87.66262638856678,1.2654498387801876,87.26672416812468,87.61490263723559
128.0,168.0,84.12875653666732,78.55655712925487,80.92410070378268,81.23883031381067,1.6791301496423914,80.83802611542185,81.15961960980107
1353.0,1477.0,108.55008527384057,106.19660900462068,106.93458654675607,107.3584181248689,0.7120982747509003,106.9246776967682,107.3495517328763
193.0,241.0,88.40413180169028,83.55221503011941,85.55206963407815,85.89270271748263,1.4678293539262388,85.48804488450176,85.82751830983977
47.0,72.0,77.79669824111966,69.76791461948507,73.23514854016264,73.52801491857234,2.434241995579265,73.0396590614521,73.33014147915326
1246.0,1364.0,110.64040456307767,108.13637819362044,108.93493962670286,109.36588932617317,0.7543904313350933,108.92320691310601,109.35669197999938
283.0,341.0,92.22159450233819,87.99582513216558,89.69965844160676,90.05235613999442,1.2774048270820055,89.65746627087462,90.0142752334024
52.0,78.0,77.1337193151543,69.53139725272737,72.82361186488167,73.1128659053086,2.3014811223121536,72.64787876448166,72.93735984730505
264.0,321.0,91.43576158679049,87.08231446485368,88.83979497923184,89.19891733731808,1.3085627582964372,88.79602204608504,89.14940080095133
463.0,536.0,98.19903901802752,94.63056193438132,95.9984411707624,96.37804351440778,1.0776242827458955,95.97179756903226,96.35460747260652
139.0,180.0,87.11778001075577,81.56315825547978,83.89837180776091,84.22885256421925,1.6791473197071114,83.81296466902131,84.14586261201464
144.0,187.0,86.30894690925089,80.92957746981197,83.17689954012603,83.51651249060055,1.629387436326464,83.0942200954924,83.42638341989348
34.0,56.0,75.89320387335557,66.9160336413954,70.7669351947107,71.0755653496603,2.71109021157775,70.5318478220841,70.81339785471131
108.0,144.0,82.70434457877369,76.79119613237518,79.30810288098125,79.62160953833619,1.7850296321537809,79.20675739169992,79.52168193088154
51.0,77.0,78.49577320542575,70.661913864302,74.03930485602554,74.35977382569838,2.359599383087592,73.86966704526417,74.16576442128297
439.0,510.0,95.38094977090003,91.82147190623004,93.19554462608762,93.55967802538466,1.0715163894916209,93.16206178826464,93.53266567983927
