res_a_p5,res_a_p95,realra_p95,realra_p5,realrb_mean,realra_mean,realrb_std,realrb_cont,realra_cont
786.0,882.0,11146.424514732369,9923.676149561135,10476.693826252382,10529.679547094205,367.9603511478959,10478.102709258192,10529.887898839806
1178.0,1294.0,10352.263993233104,9412.061567289093,9825.704609268118,9880.871937152217,284.32399804064505,9827.411064652228,9882.46394506592
782.0,877.0,12308.439044800005,10960.68336662309,11588.33989160307,11630.293878978471,408.5664767970084,11588.266130018434,11630.493310573931
728.0,820.0,14556.720863113704,12909.225368606263,13655.13208470877,13730.764821512894,498.9262991044432,13658.71144939584,13729.41674125238
1138.0,1251.0,14529.058658414748,13185.754683147668,13770.383299185378,13851.663285805547,406.1249037181249,13771.819281895663,13850.695101333204
2103.0,2256.0,8505.981508999199,7919.546207324578,8168.262247762077,8210.871391095852,177.84119480344512,8169.365564058193,8212.227446968904
2697.0,2871.0,7411.106846656243,6954.5630771964825,7144.941581178603,7181.956270341341,137.5546318108364,7145.012476896868,7182.244236744526
1239.0,1358.0,12565.993711254567,11451.00995208528,11931.52262481486,12005.045348970385,336.88761582513433,11932.853126412328,12003.910504411346
1697.0,1835.0,10787.757319270184,9963.783907556084,10316.4099241823,10375.25966004247,249.90473188111545,10317.006704665595,10375.2207755387
366.9499999999998,432.0,22604.22200286213,19109.33547711487,20711.90742539549,20840.19717838951,1054.9295008774127,20712.735348926453,20842.86605055832
1170.0,1285.0,11859.918709305322,10778.228892960557,11251.55710818181,11314.194701662746,327.2747242924265,11252.420540590876,11314.864337479139
803.0,900.0,14159.393085134727,12620.3405588793,13301.54764415802,13382.66235270177,462.7304967578892,13303.800677255154,13382.702972406847
1498.0,1628.0,10379.508026456555,9533.563096854441,9895.713719843228,9953.686459273496,254.88525229895606,9897.239586509755,9955.662403951312
1110.0,1222.0,12118.59995434547,10988.833694716666,11493.993826940603,11552.763545947422,342.0059547680598,11494.996256696368,11552.519997992667
1776.0,1918.0,9317.359728338943,8621.000138853167,8918.143855889159,8967.053377924569,211.01304816043455,8919.637702661481,8967.86018697283
1002.0,1109.0,14547.861375785042,13124.931810750832,13754.354328031046,13829.503890803866,430.3731929250637,13755.546777758454,13828.112860902876
1586.0,1719.0,10881.62398974143,10023.239255129647,10395.700943267637,10450.192805312292,259.45947170075607,10397.582101579623,10450.69147769436
385.0,452.0,25471.135475917054,21624.279234646583,23400.11196843426,23532.735778568323,1168.3456240144596,23401.17599201816,23538.75872653263
392.0,460.0,24547.9922954089,20886.121561349442,22574.536968956396,22696.410144983627,1112.4700459220471,22570.929422951263,22697.104856425656
761.0,854.0,17643.491326626325,15687.523757481606,16560.7712609388,16660.82052213369,594.4269859115327,16562.471116542933,16659.87389958625
1057.0,1167.0,14085.569981227802,12742.075427905233,13342.666980965896,13410.338081027718,407.97110119968875,13343.191866954312,13412.698920017629
945.0,1049.0,12846.152580727081,11555.261626464606,12138.929797991932,12197.057790816403,390.66966900128784,12140.413492087158,12197.068908646774
1212.0,1330.0,13606.220561841455,12382.067109740157,12920.74950981555,12991.416841535822,369.2486945318025,12924.948350389945,12993.195664587107
717.0,808.0,16234.98241003764,14376.23299293308,15222.102908342618,15297.200480815596,559.7429471995367,15223.803602534106,15299.636009038888
809.0,905.0,13566.115007563927,12100.402227940602,12756.74690954587,12827.576080940587,442.79432768112827,12755.962856562157,12829.00458993073
