ventile_id,simulation_id,real_rb_mean,real_ra_mean,res_b_mean,res_a_mean,dist_ij_maximum,dist_ij_minimum
18,7,12783.219715412997,12874.25588943899,1013.4537037037037,1013.7407407407408,18.185193908963573,16.73930680095249
19,7,11466.872555529091,11535.63321284127,919.6018518518518,920.2685185185185,20.03230371924933,18.185193908963573
20,7,8106.748673645176,8128.913540875881,1375.3055555555557,1373.6203703703704,36.47608118563621,20.03230371924933
1,8,19005.40788782335,19132.81660419496,1636.4814814814815,1636.4444444444443,3.2207496030095855,0.0
2,8,16840.587340315324,16970.711758328165,1675.8240740740741,1677.101851851852,4.209577041627323,3.2207496030095855
3,8,17471.797412052605,17581.261957379003,1434.648148148148,1435.5185185185185,5.273829034979965,4.209577041627323
4,8,15509.26086205996,15626.212218749717,1410.4537037037037,1411.0648148148148,6.2193607634696795,5.273829034979965
5,8,16491.347132736046,16591.469033984722,1228.5833333333333,1228.3703703703704,7.099010562158709,6.2193607634696795
6,8,16348.173274717366,16483.671643551355,1189.148148148148,1189.851851851852,8.009865765886136,7.099010562158709
7,8,15839.662451495427,15926.094215242689,1226.138888888889,1226.0185185185185,9.067303845096996,8.009865765886136
8,8,15587.527181034438,15704.31487188618,1070.5185185185185,1070.9259259259259,10.04996750303151,9.067303845096996
9,8,15156.894665525668,15265.392912914216,1076.601851851852,1077.388888888889,10.757118479298125,10.04996750303151
10,8,14864.16523979844,14958.732486778152,1098.111111111111,1097.9722222222222,11.497848880095894,10.757118479298125
11,8,14497.327635872243,14565.198060676037,1028.25,1027.7222222222222,12.109091001333718,11.497848880095894
12,8,13343.234448472076,13529.34364223145,1127.1944444444443,1126.4074074074074,12.807556292781596,12.109091001333718
13,8,14229.309383406024,14297.894819488276,977.9722222222222,977.5370370370371,13.534002919449897,12.807556292781596
14,8,16115.12043840473,16202.779684595882,935.3888888888889,935.3148148148148,14.213223355492133,13.534002919449897
15,8,14002.297021574397,14074.232503888508,907.8796296296297,907.7685185185185,14.990022927080933,14.213223355492133
16,8,14300.736849559398,14382.24256626028,863.8333333333334,863.7962962962963,15.857134762354208,14.990022927080933
17,8,13923.694684196964,13990.844030278071,852.074074074074,851.4351851851852,16.73930680095249,15.857134762354208
18,8,12666.326305626922,12730.058691789005,1012.4351851851852,1012.0925925925926,18.185193908963573,16.73930680095249
19,8,11543.317304444987,11596.708671169976,918.4537037037037,917.3796296296297,20.03230371924933,18.185193908963573
20,8,8153.512330048119,8192.16899155618,1375.4259259259259,1375.3055555555557,36.47608118563621,20.03230371924933
1,9,19197.18782450805,19319.084322555973,1634.0833333333333,1634.9907407407406,3.2207496030095855,0.0
2,9,16769.73708255972,16896.615294395706,1666.962962962963,1667.898148148148,4.209577041627323,3.2207496030095855
3,9,17085.32442781932,17209.545166386855,1432.148148148148,1433.0833333333333,5.273829034979965,4.209577041627323
4,9,15572.872289451285,15667.688203810698,1419.3148148148148,1418.9166666666667,6.2193607634696795,5.273829034979965
5,9,16423.54693591305,16536.04376864798,1232.638888888889,1233.2222222222222,7.099010562158709,6.2193607634696795
6,9,16167.427873612125,16279.174188937817,1186.7592592592594,1187.2407407407406,8.009865765886136,7.099010562158709
7,9,15788.703398309866,15894.329596703072,1219.2314814814815,1219.8055555555557,9.067303845096996,8.009865765886136
8,9,15638.003576492112,15710.475251181148,1079.8703703703704,1079.9537037037037,10.04996750303151,9.067303845096996
9,9,15329.086646178059,15409.938068571068,1078.7777777777778,1078.7314814814815,10.757118479298125,10.04996750303151
10,9,14946.320119238893,15043.307162962554,1101.787037037037,1101.0925925925926,11.497848880095894,10.757118479298125
11,9,14455.117577400753,14525.232922583937,1030.3055555555557,1029.7777777777778,12.109091001333718,11.497848880095894
12,9,13857.771593764588,13845.94786411109,1118.7777777777778,1117.9074074074074,12.807556292781596,12.109091001333718
13,9,14131.853255142354,14218.697684595409,977.8055555555555,977.6574074074074,13.534002919449897,12.807556292781596
14,9,14375.43261281682,14458.38976834619,935.175925925926,935.3425925925926,14.213223355492133,13.534002919449897
15,9,13815.078034595472,13893.379610480893,901.3518518518518,901.3703703703703,14.990022927080933,14.213223355492133
16,9,14153.786042224245,14254.456084498157,857.1111111111111,857.7870370370371,15.857134762354208,14.990022927080933
17,9,13901.172994541666,13964.867406109637,855.3518518518518,855.0092592592592,16.73930680095249,15.857134762354208
18,9,12778.311656436474,12815.492940595132,1020.8703703703703,1020.0648148148148,18.185193908963573,16.73930680095249
19,9,11486.092677257517,11541.703735913768,915.1944444444445,914.6296296296297,20.03230371924933,18.185193908963573
20,9,8282.430547809283,8314.259883056888,1381.898148148148,1380.9351851851852,36.47608118563621,20.03230371924933
1,10,19015.368394920766,19171.645959760008,1631.148148148148,1631.7777777777778,3.2207496030095855,0.0
2,10,16946.69414020628,17079.91874437666,1675.037037037037,1675.6666666666667,4.209577041627323,3.2207496030095855
3,10,17288.79952678037,17419.851911217047,1435.0648148148148,1435.851851851852,5.273829034979965,4.209577041627323
4,10,15421.521999178454,15541.715694469052,1408.2592592592594,1409.287037037037,6.2193607634696795,5.273829034979965
5,10,16470.017114112048,16584.27587570363,1230.5833333333333,1230.8333333333333,7.099010562158709,6.2193607634696795
