ventile_id,simulation_id,real_rb_mean,real_ra_mean,res_b_mean,res_a_mean,dist_ij_maximum,dist_ij_minimum
14,55,224.55522855953393,228.15657160463428,942.1481481481482,942.1111111111111,14.213223355492133,13.534002919449897
15,55,204.50007938878662,204.62959968680727,903.425925925926,902.4166666666666,14.990022927080933,14.213223355492133
16,55,209.17300471217698,209.86315583567958,858.9814814814815,859.4629629629629,15.857134762354208,14.990022927080933
17,55,203.9386306803063,204.1694951120124,852.2129629629629,852.2777777777778,16.73930680095249,15.857134762354208
18,55,190.73200413101162,190.5438711027138,1019.0277777777778,1018.8796296296297,18.185193908963573,16.73930680095249
19,55,168.6084990262118,168.93730744999885,911.4074074074074,911.3425925925926,20.03230371924933,18.185193908963573
20,55,120.78620129752659,121.09174869578739,1382.0462962962963,1382.0185185185185,36.47608118563621,20.03230371924933
1,56,292.84022533381585,294.0490283961751,1637.1203703703704,1637.5833333333333,3.2207496030095855,0.0
2,56,248.49263614174512,249.03138271995,1675.601851851852,1674.9259259259259,4.209577041627323,3.2207496030095855
3,56,253.84523379626236,254.723727692337,1434.638888888889,1435.148148148148,5.273829034979965,4.209577041627323
4,56,228.18007412416367,229.02038577871485,1411.25,1411.898148148148,6.2193607634696795,5.273829034979965
5,56,240.1610877697428,240.9026188537562,1227.0740740740741,1228.0092592592594,7.099010562158709,6.2193607634696795
6,56,240.8060024975628,241.1934926609913,1197.6944444444443,1198.5277777777778,8.009865765886136,7.099010562158709
7,56,231.2989639541001,231.76804980252342,1218.8148148148148,1218.9444444444443,9.067303845096996,8.009865765886136
8,56,232.06848418632842,232.5965476855339,1079.4259259259259,1079.388888888889,10.04996750303151,9.067303845096996
9,56,224.55809463156177,224.7241825209793,1069.7592592592594,1069.6203703703704,10.757118479298125,10.04996750303151
10,56,217.89057799569932,218.27957898468506,1095.351851851852,1095.638888888889,11.497848880095894,10.757118479298125
11,56,212.11037148481466,212.75309428066234,1027.1574074074074,1027.9259259259259,12.109091001333718,11.497848880095894
12,56,207.70447482189775,205.49741598380533,1127.0185185185185,1127.1203703703704,12.807556292781596,12.109091001333718
13,56,210.28570189071377,210.43781121418394,986.4537037037037,985.9907407407408,13.534002919449897,12.807556292781596
14,56,233.2396588472768,233.50047474241617,934.2407407407408,933.8796296296297,14.213223355492133,13.534002919449897
15,56,205.187241801397,205.5109933363435,905.0648148148148,904.9351851851852,14.990022927080933,14.213223355492133
16,56,209.4797868777485,209.52892574979597,856.0555555555555,854.8981481481482,15.857134762354208,14.990022927080933
17,56,205.35308507872276,205.49434513935992,850.6481481481482,850.3425925925926,16.73930680095249,15.857134762354208
18,56,187.435921049998,187.0961639628446,1019.4722222222222,1019.324074074074,18.185193908963573,16.73930680095249
19,56,167.98516254695681,168.07376785208197,916.6481481481482,916.8055555555555,20.03230371924933,18.185193908963573
20,56,119.15104519620435,119.11080848543176,1375.9259259259259,1374.5092592592594,36.47608118563621,20.03230371924933
1,57,290.04560603264895,291.2317113948619,1634.0277777777778,1634.9444444444443,3.2207496030095855,0.0
2,57,247.97128051826456,248.8019910461308,1662.8796296296296,1664.0555555555557,4.209577041627323,3.2207496030095855
3,57,252.35021517236035,253.22045941089434,1431.3796296296296,1430.9537037037037,5.273829034979965,4.209577041627323
4,57,229.02027846191163,229.655528066372,1414.851851851852,1415.111111111111,6.2193607634696795,5.273829034979965
5,57,240.94444017256228,241.78367326275765,1225.1759259259259,1225.5648148148148,7.099010562158709,6.2193607634696795
6,57,240.32459178647352,241.2091131871916,1192.3703703703704,1192.9444444444443,8.009865765886136,7.099010562158709
7,57,234.1725054615911,234.12282658715097,1223.1759259259259,1222.4074074074074,9.067303845096996,8.009865765886136
8,57,229.35462880569392,229.7321981455912,1076.148148148148,1076.1759259259259,10.04996750303151,9.067303845096996
9,57,226.4577290076626,226.55902587727886,1075.4907407407406,1074.8703703703704,10.757118479298125,10.04996750303151
10,57,220.1700014537329,220.93835887479156,1098.462962962963,1098.3240740740741,11.497848880095894,10.757118479298125
11,57,213.24488901513251,213.51147095481997,1027.138888888889,1026.3796296296296,12.109091001333718,11.497848880095894
12,57,203.17350250822713,203.58631953289216,1125.9351851851852,1126.5185185185185,12.807556292781596,12.109091001333718
13,57,209.03193284867356,209.3559389112501,984.0092592592592,983.9629629629629,13.534002919449897,12.807556292781596
14,57,219.64246139962728,219.96448395317518,936.6203703703703,936.574074074074,14.213223355492133,13.534002919449897
15,57,204.37828611457516,204.48022128784172,907.8333333333334,907.2129629629629,14.990022927080933,14.213223355492133
16,57,210.0875097825909,210.32842098027055,860.4166666666666,860.2222222222222,15.857134762354208,14.990022927080933
17,57,208.0199563810722,208.40649422464736,856.8703703703703,857.2129629629629,16.73930680095249,15.857134762354208
18,57,186.8790792911757,187.01881513800842,1017.2314814814815,1016.6018518518518,18.185193908963573,16.73930680095249
19,57,168.63529276985633,168.80737699155435,916.6944444444445,916.425925925926,20.03230371924933,18.185193908963573
20,57,119.94944568947875,119.9560970245743,1378.7037037037037,1378.9537037037037,36.47608118563621,20.03230371924933
1,58,285.59138615382824,286.72746556100975,1633.037037037037,1633.3333333333333,3.2207496030095855,0.0
2,58,249.0049570145619,249.69039091517783,1670.2037037037037,1671.0092592592594,4.209577041627323,3.2207496030095855
3,58,253.91536718212535,254.57688782491624,1433.5,1433.5925925925926,5.273829034979965,4.209577041627323
4,58,229.39769817393906,230.28940618082166,1416.4537037037037,1417.648148148148,6.2193607634696795,5.273829034979965
